station_key,traffic_count,year,wgs84_latitude,wgs84_longitude
15828005,118350,2021,-33.79353,151.018829
57055,110914,2021,-33.795948,151.012634
56845,386442,2021,-33.869789,151.112778
58882,25056,2021,-33.759418,147.523041
99990004,296680,2021,-33.769588,150.768738
57133,82674,2021,-33.711651,151.296783
57268,459472,2021,-33.816696,150.976623
15252011,34244,2021,-33.052498,148.862244
15334027,46240,2021,-28.886017,153.0457
57110,357158,2021,-33.725666,151.168045
15216018,43288,2021,-31.74824,148.641083
99990011,345088,2021,-34.066612,150.81958
57101,458700,2021,-33.798344,151.13913
58887,62686,2021,-31.860619,152.600388
57203,209286,2021,-33.88306,150.851425
56855,319610,2021,-33.839256,151.14035
57128,85781,2021,-33.718727,151.110672
15828016,69360,2021,-34.313366,150.586014
15286009,127486,2021,-33.888157,150.922974
17126150,89316,2021,-32.77161,151.452805
15828015,19982,2021,-34.705311,150.013504
15175635,110140,2021,-31.105118,152.831375
15934002,27378,2021,-33.455235,151.205383
15216014,30528,2021,-33.924194,147.258545
15334031,229392,2021,-33.689632,151.097748
15934015,87972,2021,-33.616264,150.273102
15252020,138440,2021,-33.544159,150.171692
56606,974116,2021,-33.876652,151.230606
15175634,4696,2021,-29.066118,153.360901
99990015,476512,2021,-32.835659,151.538528
57118,291872,2021,-33.761337,151.154983
56604,74400,2021,-34.259789,150.969467
15252028,148100,2021,-33.843338,151.043411
57257,263060,2021,-33.869324,150.963486
15286010,134120,2021,-33.740406,151.060989
58885,18344,2021,-34.696266,146.341217
15334003,58338,2021,-33.916008,151.014008
15175632,75552,2021,-36.210968,149.154999
15286003,129028,2021,-33.953056,151.137482
57289,430240,2021,-33.790771,150.978729
15828011,25020,2021,-34.70372,150.016647
15334020,38384,2021,-31.315237,149.30307
56705,894570,2021,-33.869068,151.185349
56949,266912,2021,-33.951763,151.088257
16294003,27510,2021,-33.454796,151.205872
15252035,110460,2021,-33.779202,150.814102
56873,185166,2021,-33.788738,151.193848
15175630,46118,2021,-34.820808,149.599777
58880,25448,2021,-35.350632,145.755707
15334028,18924,2021,-29.434433,153.240707
15828018,3308,2021,-34.690311,149.999191
17126153,22112,2021,-31.236635,149.31575
15334016,146070,2021,-33.838615,151.143753
15154104,180676,2021,-33.793304,151.119659
57103,295502,2021,-33.742413,151.150818
15216012,35692,2021,-33.410191,147.969162
57134,415026,2021,-33.706745,151.297028
15168302,112744,2021,-33.437302,149.929047
57439,417740,2021,-33.723019,151.036606
55432,40284,2021,-33.894791,151.220764
58863,460220,2021,-34.309757,150.60141
15828001,250352,2021,-33.772957,151.135391
99990010,710996,2021,-33.819687,151.117416
15334002,195778,2021,-33.874916,151.155319
15252016,291852,2021,-34.272804,150.714188
57440,403396,2021,-33.760658,151.07962
15252023,155004,2021,-33.579613,150.222458
58878,121340,2021,-34.836449,149.007996
15216020,34200,2021,-32.657825,148.199264
15934005,11440,2021,-32.656689,151.850708
58883,124780,2021,-36.003071,146.003235
57012,118124,2021,-33.835732,151.023056
58870,1172832,2021,-33.694206,151.121323
57368,536164,2021,-33.740467,150.984421
57408,255148,2021,-33.717724,151.108383
58861,15288,2021,-34.674763,143.572067
15286016,129002,2021,-34.5301895141602,150.869140625
56861,626316,2021,-33.821175,151.149902
15370001,269266,2021,-33.876884,151.228683
56981,159525,2021,-33.9292488098145,150.979049682617
15934004,11440,2021,-32.656384,151.851227
15334015,56920,2021,-28.566883,150.321152
58881,741828,2021,-34.390652,150.858108
15216017,43092,2021,-31.748741,148.641037
15334017,25276,2021,-35.350391,145.756058
15252005,149796,2021,-32.237709,150.903046
58879,19508,2021,-29.434345,153.240707
15828003,75720,2021,-32.92701,151.757919
15252018,154252,2021,-33.582989,150.240768
15334021,35748,2021,-32.577614,148.222031
57290,290020,2021,-33.774277,150.935242
57083,60545,2021,-33.79253,151.081924
15334023,18476,2021,-34.69595,146.340912
15216011,33408,2021,-34.905838,148.185486
57502,139632,2021,-34.054153,150.707245
58876,145420,2021,-35.007648,148.111343
15828017,74476,2021,-34.308601,150.599533
15648001,223036,2021,-33.817272,150.962784
58894,130872,2021,-28.245531,153.546005
56918,137100,2021,-34.072643,151.000855
56776,126438,2021,-33.922554,151.068237
57048,86478,2021,-33.802933,151.066223
15828002,50400,2021,-32.940571,151.71312
57060,49561,2021,-33.794579,151.000626
56465,8776,2021,-36.893013,149.239685
56869,93690,2021,-33.806141,151.17952
15286006,625940,2021,-33.9294929504395,150.980163574219
58859,57432,2021,-28.567099,150.321335
56896,384000,2021,-34.011719,151.126007
57176,452444,2021,-33.937553,150.913849
15334024,58324,2021,-30.895912,151.154572
15252021,129416,2021,-33.530327,150.153626
15216015,35700,2021,-33.410091,147.969513
56868,423046,2021,-33.787891,151.179306
99990005,68272,2021,-32.088028,152.405975
15334030,64196,2021,-33.65556,151.063828
15648002,264272,2021,-33.877975,151.093185
17126152,22784,2021,-31.616983,148.746139
57053,875536,2021,-33.819763,151.05188
58895,35588,2021,-32.5779228210449,148.222015380859
55710,397368,2021,-32.818165,151.692841
15334018,15240,2021,-34.6745,143.571899
55329,185802,2021,-33.898201,151.177399
58858,38060,2021,-35.967876,147.004715
57051,292234,2021,-33.796436,150.987595
55393,66132,2021,-33.888908,151.200851
15828013,20004,2021,-34.706158,150.012939
56348,178690,2021,-34.439182,150.85762
15828006,89918,2021,-34.701328,150.018112
56781,119508,2021,-33.934917,151.0737
15216019,38384,2021,-31.995008,148.579727
56390,226002,2021,-34.384689,150.900024
15286002,72928,2021,-34.035271,151.113007
56927,319692,2021,-33.984394,151.109436
56602,574764,2021,-33.878181,150.924942
15252024,49444,2021,-30.984961,150.768204
15286014,65258,2021,-33.798195,150.897125
15175629,131016,2021,-33.424236,149.665482
56387,37681,2021,-34.437912,150.42067
57168,325950,2021,-33.677433,151.304688
15216010,21884,2021,-29.730248,151.6996
15934006,3432,2021,-33.615574,150.272995
56738,358944,2021,-33.825577,151.233261
55394,44660,2021,-33.889572,151.201599
57136,413154,2021,-33.753216,151.257523
15828008,25112,2021,-34.702332,150.017639
55439,106462,2021,-29.697966,152.942108
57104,815092,2021,-33.729225,151.122208
15175631,46520,2021,-34.912457,149.442764
99990001,265036,2021,-34.704567,150.014954
15334006,126226,2021,-33.719955,151.298111
15334029,69324,2021,-33.654926,151.060974
15934008,5582,2021,-33.61628,150.273605
15216013,30548,2021,-33.924088,147.258881
56368,247172,2021,-34.238487,150.661575
15334022,24896,2021,-33.760098,147.522415
15252009,55224,2021,-30.979286,150.307693
57522,98038,2021,-33.756058,150.712326
56222,156658,2021,-34.432686,150.480286
56744,108282,2021,-33.929401,151.156433
57535,71170,2021,-33.746132,150.681915
99990013,334652,2021,-34.033203,151.092529
55307,234908,2021,-33.86129,151.209854
57426,260186,2021,-33.740452,151.059372
56841,1339080,2021,-33.824696,151.093216
57096,826188,2021,-33.81551,151.101105
57318,57410,2021,-33.776749,150.803101
57140,537796,2021,-33.729507,151.30011
55430,248058,2021,-33.887547,151.219452
15286013,83504,2021,-33.81562,150.969238
56982,293802,2021,-33.8899269104004,150.973999023438
15286015,79134,2021,-34.449482,150.849564
56740,147884,2021,-33.822067,151.238358
58868,23768,2021,-29.568588,151.865753
15190087,33844,2021,-28.952976,153.464539
15252019,153300,2021,-33.580284,150.22316
15334011,88624,2021,-32.771721,151.452652
56891,61039,2021,-33.793015,151.253708
16294002,27470,2021,-33.455536,151.205093
15252022,139396,2021,-33.544163,150.171692
57328,227164,2021,-33.7716369628906,150.836044311523
56885,396946,2021,-33.803474,151.246109
15252006,150540,2021,-32.179447,150.889908
57425,90070,2021,-33.738918,151.072128
56973,110218,2021,-33.926025,151.038132
15252008,34016,2021,-32.327095,150.537567
17126146,38358,2021,-34.905685,148.184982
55363,133044,2021,-33.907532,151.200974
15286007,118958,2021,-33.724922,150.977127
56778,310384,2021,-33.928268,151.077286
15828014,20050,2021,-34.705681,150.013245
15252003,215480,2021,-32.532272,151.139435
56758,442508,2021,-33.954906463623,151.158676147461
99990003,401368,2021,-33.817974,150.981827
15842282,4216,2021,-34.706326,150.012497
15216009,20112,2021,-29.777054,151.170212
55385,195200,2021,-33.8741,151.19487
58874,1029260,2021,-33.429348,151.22467
15934007,5572,2021,-33.615974,150.273331
15334019,10600,2021,-31.919863,141.53447
57294,115720,2021,-33.7658920288086,150.892974853516
55411,132066,2021,-33.898334,151.178238
99990002,213276,2021,-34.791008,148.86348
56378,54016,2021,-34.202492,150.786789
15334025,23928,2021,-29.56786,151.865753
15216016,38140,2021,-31.995474,148.579636
55306,133322,2021,-33.86618,151.203201
57095,204692,2021,-33.80019,151.114365
56857,85238,2021,-33.812298,151.170197
56683,173724,2021,-33.919224,151.177978
57102,396548,2021,-33.798531,151.138992
56823,390118,2021,-33.887241,151.073135
58877,33102,2021,-34.786289,148.703384
56730,157258,2021,-33.817001,151.212357
15252030,459316,2021,-33.929409,151.072479
15934010,175760,2021,-33.617626,150.274033
17126151,57020,2021,-28.566883,150.321152
15334032,36704,2021,-33.511532,150.284225
15828012,86124,2021,-34.707207,150.01265
57316,84619,2021,-33.763252,150.863083
15334001,153632,2021,-33.906151,151.040207
56615,286050,2021,-33.89072,151.250137
56872,419044,2021,-33.799751,151.210465
57108,92798,2021,-33.742207,151.139358
56950,821812,2021,-33.977142,151.030533
15334005,128760,2021,-32.906013,151.671356
15934011,46062,2021,-33.616905,150.273621
99990008,69654,2021,-31.515654,152.794846
57155,339962,2021,-33.701229,151.211594
15334004,356016,2021,-33.894714,151.110962
56975,452924,2021,-33.9051513671875,151.041351318359
15334014,64820,2021,-33.665455,151.090271
15252004,135560,2021,-32.300934,150.932449
15286012,210040,2021,-33.865181,151.171997
58691,70588,2021,-33.433193,149.910248
15286001,57286,2021,-33.886032,151.218079
56974,120031,2021,-33.939327,151.035797
56748,265782,2021,-33.945034,151.141708
57141,825808,2021,-33.753262,151.257889
17126149,94926,2021,-33.886311,151.217911
15175633,69596,2021,-35.975777,149.138184
