station_key,traffic_count,year,wgs84_latitude,wgs84_longitude
56841,1805124,2012,-33.824696,151.093216
56873,511832,2012,-33.788738,151.193848
57103,387956,2012,-33.742413,151.150818
56413,77320,2012,-35.699673,150.184463
58260,5468,2012,-34.309788,147.81366
58847,269014,2012,-33.706028,150.527969
57264,331406,2012,-33.826282,151.004715
55717,10898,2012,-32.65453,151.967926
58878,150972,2012,-34.836449,149.007996
55826,111913,2012,-32.745865,151.580826
57599,4940,2012,-29.699936,150.532974
58872,1530536,2012,-33.560299,151.192551
56748,336250,2012,-33.945034,151.141708
57178,408138,2012,-33.914284,150.907883
58894,606904,2012,-28.245531,153.546005
57113,165874,2012,-33.75,151.173416137695
56299,71346,2012,-34.986893,150.592178
56392,326368,2012,-34.65646,150.854126
56837,22675,2012,-33.85783,151.070923
58876,194660,2012,-35.007648,148.111343
56222,172242,2012,-34.432686,150.480286
57518,329690,2012,-33.769199,150.761856
56490,14000,2012,-36.443413,148.497711
57133,89968,2012,-33.711651,151.296783
57101,491858,2012,-33.798344,151.13913
57537,506292,2012,-33.770508,150.667374
57110,1016160,2012,-33.725666,151.168045
56781,737480,2012,-33.934917,151.0737
58265,23724,2012,-33.928139,147.176712
55779,57518,2012,-33.003853,151.569412
58883,166060,2012,-36.003071,146.003235
57429,203431,2012,-33.708275,151.116898
58100,28211,2012,-35.158669,149.061523
58605,5869,2012,-35.523926,144.983246
57104,1229976,2012,-33.729225,151.122208
57440,289802,2012,-33.760658,151.07962
58169,26376,2012,-34.663414,148.818375
56694,534032,2012,-33.887417,151.173325
56705,1274562,2012,-33.869068,151.185349
56800,320462,2012,-33.935444,151.111282
58135,71766,2012,-34.982334,149.025269
57042,490828,2012,-33.809143,151.025696
56349,561634,2012,-34.465652,150.845032
57140,760644,2012,-33.729507,151.30011
57271,491220,2012,-33.806152,150.970047
58863,587200,2012,-34.309757,150.60141
56613,609514,2012,-33.890221,151.239777
57438,442752,2012,-33.769329,151.049728
56949,294752,2012,-33.951763,151.088257
56912,560136,2012,-34.022137,151.089767
56918,194308,2012,-34.072643,151.000855
56302,134538,2012,-34.485901,150.414932
56892,295684,2012,-33.781223,151.237793
56464,21118,2012,-36.500126,149.28183
57256,573294,2012,-33.850235,150.944809
58531,15172,2012,-36.00071,144.827393
56888,188772,2012,-33.778187,151.267136
58703,217846,2012,-33.724335,150.405151
55432,262628,2012,-33.894791,151.220764
56249,317866,2012,-34.538227,150.865845
58173,30452,2012,-35.214867,149.271011
56740,214578,2012,-33.822067,151.238358
57426,601788,2012,-33.740452,151.059372
56424,46048,2012,-36.155613,149.151504
57047,269788,2012,-33.78928,151.062759
56521,8151,2012,-31.471134,152.701034
56863,194180,2012,-33.825085,151.178818
57328,258864,2012,-33.7716369628906,150.836044311523
57581,36852,2012,-28.92605,151.928467
56376,234228,2012,-34.320358,150.895767
56844,764874,2012,-33.842159,151.147903
57168,411496,2012,-33.677433,151.304688
55839,92328,2012,-32.752235,151.72522
58597,14834,2012,-34.500591,144.845779
58058,139034,2012,-34.817825,149.601578
55952,117448,2012,-32.888538,151.695129
55394,458942,2012,-33.889572,151.201599
55322,330110,2012,-33.889385,151.203934
55869,258828,2012,-32.963619,151.695831
58866,110064,2012,-28.325123,153.518341
57005,519824,2012,-33.83889,151.029022
58691,78196,2012,-33.433193,149.910248
56823,117540,2012,-33.887241,151.073135
58668,20424,2012,-34.106213,141.917526
58346,23104,2012,-35.770786,147.990723
58887,285484,2012,-31.860619,152.600388
