station_key,traffic_count,year,wgs84_latitude,wgs84_longitude
56845,726850,2017,-33.869789,151.112778
56896,524716,2017,-34.011719,151.126007
55888,125496,2017,-33.181824,151.467636
57096,1123632,2017,-33.81551,151.101105
58875,1367980,2017,-33.395744,151.297058
57256,595484,2017,-33.850235,150.944809
15252006,198380,2017,-32.179447,150.889908
99990009,391084,2017,-34.372967,150.829529
99990011,507832,2017,-34.066612,150.81958
58880,40056,2017,-35.350632,145.755707
15252023,236864,2017,-33.579613,150.222458
57049,415912,2017,-33.807297,151.053345
15286014,112592,2017,-33.798195,150.897125
58870,1696620,2017,-33.694206,151.121323
58058,149622,2017,-34.817825,149.601578
56744,169036,2017,-33.929401,151.156433
55306,744042,2017,-33.86618,151.203201
16294002,30170,2017,-33.455536,151.205093
57522,348974,2017,-33.756058,150.712326
56976,547372,2017,-33.933296,151.039734
58883,176144,2017,-36.003071,146.003235
58873,1643508,2017,-33.496265,151.187408
57168,412752,2017,-33.677433,151.304688
15252005,197948,2017,-32.237709,150.903046
56776,672580,2017,-33.922554,151.068237
15286009,168704,2017,-33.888157,150.922974
57297,301424,2017,-33.767948,150.904663
55867,48624,2017,-33.368137,151.475739
15286012,317010,2017,-33.865181,151.171997
57224,384260,2017,-33.889923,150.883972
57294,165670,2017,-33.7658920288086,150.892974853516
58871,1402216,2017,-33.651676,151.137741
56820,1804792,2017,-33.86327,151.066605
57141,441310,2017,-33.753262,151.257889
55304,845076,2017,-33.860836,151.213791
58861,23748,2017,-34.674763,143.572067
17126149,139730,2017,-33.886311,151.217911
56959,344564,2017,-33.963131,151.04187
57441,107569,2017,-33.724735,151.086151
55385,255272,2017,-33.8741,151.19487
56800,331362,2017,-33.935444,151.111282
56716,618244,2017,-33.871185,151.172668
56981,636602,2017,-33.9292488098145,150.979049682617
15828002,64790,2017,-32.940571,151.71312
17126146,52808,2017,-34.905685,148.184982
15175633,109588,2017,-35.975777,149.138184
15252025,49690,2017,-31.08548,152.871231
58134,21578,2017,-34.6805038452148,149.690475463867
17126153,34072,2017,-31.236635,149.31575
56841,1835480,2017,-33.824696,151.093216
15334023,24160,2017,-34.69595,146.340912
