station_key,traffic_count,year,wgs84_latitude,wgs84_longitude
58593,9420,2006,-35.913952,145.706635
58307,7724,2006,-35.708405,147.282913
58316,37500,2006,-36.088005,147.036148
56981,495948,2006,-33.9292488098145,150.979049682617
56392,281840,2006,-34.65646,150.854126
58394,5436,2006,-35.813152,146.684021
57073,608824,2006,-33.809544,151.106827
58590,2232,2006,-35.592781,145.953781
58183,56400,2006,-35.214565,147.809433
55710,368378,2006,-32.818165,151.692841
56980,328608,2006,-33.961929,151.037201
58163,6092,2006,-34.570393,148.354233
57443,24388,2006,-33.750919,151.065918
57305,37280,2006,-33.771648,150.857834
58373,63382,2006,-34.300381,146.046631
58527,13554,2006,-35.403187,145.709549
58270,41228,2006,-34.691673,146.489822
58202,16728,2006,-34.762707,146.534653
58276,5584,2006,-35.561646,146.703033
58254,42148,2006,-34.540688,146.369308
58191,33440,2006,-35.946468,146.42334
56317,86100,2006,-34.117558,150.739578
58412,6408,2006,-31.675589,147.410492
58589,5344,2006,-35.423321,145.707413
58241,11640,2006,-35.768288,147.963791
58169,26464,2006,-34.663414,148.818375
57831,30466,2006,-32.55653,148.232864
58292,3084,2006,-34.360863,147.208435
58640,4836,2006,-32.081757,141.403915
58385,45013,2006,-36.075298,146.926163
58635,1900,2006,-34.597153,143.569946
56245,30014,2006,-34.566525,150.662857
58318,21980,2006,-36.090073,147.058472
56474,2930,2006,-36.402557,148.417343
58259,12700,2006,-34.110081,145.854813
58363,78664,2006,-34.551659,146.404755
58006,3769,2006,-32.406441,148.400147
58066,4165,2006,-34.652634,148.015045
57025,529798,2006,-33.823917,151.051331
58631,25294,2006,-34.575878,142.76651
58525,30364,2006,-35.631622,145.581757
58375,102644,2006,-34.290138,146.063187
57719,6508,2006,-31.58238,149.22644
58624,5272,2006,-34.564789,146.019592
58627,3244,2006,-35.552425,144.879623
58170,11672,2006,-34.378304,148.597214
58436,1958,2006,-29.009483,145.711334
58176,11444,2006,-34.606853,149.801086
58177,10330,2006,-34.876907,149.684677
55329,239762,2006,-33.898201,151.177399
56745,339056,2006,-33.946026,151.172195
58626,44692,2006,-35.534504,144.949234
58384,62402,2006,-36.076366,146.946426
58608,32474,2006,-34.516502,144.8423
58370,27518,2006,-35.668449,147.037018
57102,126065,2006,-33.798531,151.138992
56486,12872,2006,-36.414921,148.586685
58294,13376,2006,-34.476021,147.779144
58337,58882,2006,-35.108372,147.370804
58256,19840,2006,-34.353817,146.214874
55897,88462,2006,-32.284164,150.914703
56469,5640,2006,-36.847767,149.36087
58518,5966,2006,-36.022472,144.95018
57837,8536,2006,-33.249622,149.068283
58268,14836,2006,-34.278732,146.551498
55717,11894,2006,-32.65453,151.967926
58346,22100,2006,-35.770786,147.990723
57643,10576,2006,-28.617474,150.365082
58393,40872,2006,-33.925232,147.236633
58304,6172,2006,-35.676247,147.327881
58556,7392,2006,-33.988861,145.697174
57912,5192,2006,-33.649349,148.664551
58321,80212,2006,-35.942879,147.125092
58109,8200,2006,-34.851803,149.244156
56393,141952,2006,-34.596828,150.847763
58662,2416,2006,-33.716839,141.786301
58686,21150,2006,-34.174644,142.196579
55888,384762,2006,-33.181824,151.467636
56836,443068,2006,-33.856541,151.068039
55494,31040,2006,-30.448483,153.005157
58353,8152,2006,-35.724926,147.312561
56863,240394,2006,-33.825085,151.178818
55304,757052,2006,-33.860836,151.213791
58244,3644,2006,-35.069973,147.111801
58247,5074,2006,-35.3344,146.271027
58210,34674,2006,-33.922207,147.200958
58077,21428,2006,-34.26141,148.267013
56427,6032,2006,-35.752174,148.51828
58297,76816,2006,-35.131641,147.353195
58148,51000,2006,-34.766384,148.762833
56296,52164,2006,-34.586018,150.271423
58377,5492,2006,-35.320045,148.066544
55423,37502,2006,-33.873695,151.195328
58612,6124,2006,-33.480766,145.534805
58215,17260,2006,-35.327759,148.23764
58302,11056,2006,-35.363415,147.262299
56613,629988,2006,-33.890221,151.239777
58295,6306,2006,-34.828533,147.538269
58061,126560,2006,-34.912739,148.168076
58280,8816,2006,-35.970558,146.009125
58795,27708,2006,-33.482677,149.415604
55385,230629,2006,-33.8741,151.19487
58613,5596,2006,-35.177158,143.440781
57729,2782,2006,-31.120571,149.635513
58611,19802,2006,-33.485302,145.53186
57828,42128,2006,-33.110325,148.174591
58219,18412,2006,-35.918716,147.001556
56371,100238,2006,-34.161606,150.981125
58364,35622,2006,-34.566723,146.410828
56487,340,2006,-36.524296,148.259415
58255,5946,2006,-34.510292,146.18634
58171,10512,2006,-34.50581,148.052261
58574,4752,2006,-35.649769,144.413742
56381,29996,2006,-34.259045,150.9702
58699,20742,2006,-33.537601,150.327103
58236,39612,2006,-35.66766,147.037796
58312,16024,2006,-35.936092,146.886673
58374,71600,2006,-34.289154,146.050415
58333,2858,2006,-36.171692,148.035171
58342,42274,2006,-34.740437,146.559631
58301,3564,2006,-35.588886,147.539398
58557,4230,2006,-33.971626,145.698746
58116,31124,2006,-34.434212,148.712891
58201,20952,2006,-34.763302,146.534622
58132,9608,2006,-34.859917,148.916382
58535,3158,2006,-34.523533,144.83876
57683,8008,2006,-31.405266,149.245285
