station_key,traffic_count,year,wgs84_latitude,wgs84_longitude
55867,259168,2016,-33.368137,151.475739
57186,947980,2016,-33.956684,150.891098
15286016,168566,2016,-34.5301895141602,150.869140625
57257,384232,2016,-33.869324,150.963486
15334024,20650,2016,-30.895912,151.154572
57133,384522,2016,-33.711651,151.296783
57277,157182,2016,-33.8419532775879,150.926940917969
56243,161090,2016,-34.425777,150.888489
15252008,10512,2016,-32.327095,150.537567
15252004,44074,2016,-32.300934,150.932449
57049,529668,2016,-33.807297,151.053345
55856,236602,2016,-32.813347,151.843857
56378,85262,2016,-34.202492,150.786789
57368,733484,2016,-33.740467,150.984421
58863,667072,2016,-34.309757,150.60141
57267,638708,2016,-33.814941,150.966827
58858,224308,2016,-35.967876,147.004715
58875,1253068,2016,-33.395744,151.297058
56694,489644,2016,-33.887417,151.173325
15252020,45542,2016,-33.544159,150.171692
57318,304668,2016,-33.776749,150.803101
15842282,3906,2016,-34.706326,150.012497
57053,1125188,2016,-33.819763,151.05188
56855,114620,2016,-33.839256,151.14035
15252021,41214,2016,-33.530327,150.153626
17126149,142444,2016,-33.886311,151.217911
57373,122068,2016,-33.76622,150.997086
15828015,18558,2016,-34.705311,150.013504
15334026,15816,2016,-28.88661,153.046005
56077,218740,2016,-32.928658,151.641113
57535,107762,2016,-33.746132,150.681915
56868,580064,2016,-33.787891,151.179306
57250,374602,2016,-33.870174,150.96106
15334020,13360,2016,-31.315237,149.30307
56814,401670,2016,-33.85709,151.066177
15334021,12348,2016,-32.577614,148.222031
57440,292520,2016,-33.760658,151.07962
58885,5700,2016,-34.696266,146.341217
57051,1411192,2016,-33.796436,150.987595
56865,128230,2016,-33.80106,151.146164
15286013,124664,2016,-33.81562,150.969238
56649,1161566,2016,-33.925007,151.214737
56403,30644,2016,-36.627476,149.843384
57294,159828,2016,-33.7658920288086,150.892974853516
99990001,441132,2016,-34.704567,150.014954
57314,301466,2016,-33.791531,150.919113
57502,150036,2016,-34.054153,150.707245
57342,439632,2016,-33.769043,150.816498
15334025,11338,2016,-29.56786,151.865753
58173,28780,2016,-35.214867,149.271011
58893,404690,2016,-33.841621,151.210663
56280,64588,2016,-34.48645,150.901474
56823,460014,2016,-33.887241,151.073135
57096,1057364,2016,-33.81551,151.101105
56975,419724,2016,-33.9051513671875,151.041351318359
57050,376724,2016,-33.812046,151.039719
56837,22984,2016,-33.85783,151.070923
58058,147396,2016,-34.817825,149.601578
15828005,159370,2016,-33.79353,151.018829
57108,139988,2016,-33.742207,151.139358
15828002,65234,2016,-32.940571,151.71312
58868,10670,2016,-29.568588,151.865753
57256,597234,2016,-33.850235,150.944809
56753,71511,2016,-33.947483,151.12796
15286002,101170,2016,-34.035271,151.113007
15334017,9508,2016,-35.350391,145.756058
56387,254742,2016,-34.437912,150.42067
57419,364540,2016,-33.770763,151.094559
15828008,23206,2016,-34.702332,150.017639
15370001,377194,2016,-33.876884,151.228683
15934006,5824,2016,-33.615574,150.272995
58859,17920,2016,-28.567099,150.321335
56302,140916,2016,-34.485901,150.414932
57176,690010,2016,-33.937553,150.913849
15286011,176366,2016,-34.045811,151.133041
56974,577406,2016,-33.939327,151.035797
15252017,44608,2016,-30.583015,153.002701
57104,1201632,2016,-33.729225,151.122208
56800,322154,2016,-33.935444,151.111282
58878,162540,2016,-34.836449,149.007996
15334031,331052,2016,-33.689632,151.097748
55393,77537,2016,-33.888908,151.200851
17126152,33988,2016,-31.616983,148.746139
15168302,40662,2016,-33.437302,149.929047
56683,545668,2016,-33.919224,151.177978
55394,97983,2016,-33.889572,151.201599
15934002,28554,2016,-33.455235,151.205383
56888,85388,2016,-33.778187,151.267136
56916,456630,2016,-34.132504,150.993759
56249,349050,2016,-34.538227,150.865845
15286008,205976,2016,-33.8651123046875,151.041610717773
15175633,24854,2016,-35.975777,149.138184
55439,232256,2016,-29.697966,152.942108
56424,44292,2016,-36.155613,149.151504
99990003,570924,2016,-33.817974,150.981827
58865,13310,2016,-31.31538,149.303513
56918,220640,2016,-34.072643,151.000855
57159,638976,2016,-33.686592,151.256943
15934010,254560,2016,-33.617626,150.274033
15286001,84116,2016,-33.886032,151.218079
57377,158196,2016,-33.765114,151.009125
15252018,53082,2016,-33.582989,150.240768
57182,564396,2016,-33.916756,150.919952
55406,92342,2016,-33.874722,151.216217
58873,1666460,2016,-33.496265,151.187408
56248,381178,2016,-34.465855,150.874085
55760,139061,2016,-32.81049,151.673676
56744,621540,2016,-33.929401,151.156433
15252006,47678,2016,-32.179447,150.889908
57425,624646,2016,-33.738918,151.072128
57305,211838,2016,-33.771648,150.857834
56856,387054,2016,-33.829678,151.146133
56385,30664,2016,-34.359959,150.899597
17126151,71756,2016,-28.566883,150.321152
56404,16576,2016,-36.631699,149.814713
56780,533324,2016,-33.899914,151.088058
57289,601270,2016,-33.790771,150.978729
57173,638652,2016,-33.926929,150.928101
55886,114432,2016,-33.025345,151.650024
55874,181252,2016,-32.923946,151.741364
56914,518498,2016,-34.054104,151.046188
56349,550525,2016,-34.465652,150.845032
56781,634418,2016,-33.934917,151.0737
56605,397376,2016,-34.150352,150.990295
15828017,86032,2016,-34.308601,150.599533
56762,1029396,2016,-33.934475,151.15831
56369,527412,2016,-34.115025,150.759109
56142,22685,2016,-32.815563,151.627701
55777,27288,2016,-32.894691,151.584503
15934014,106364,2016,-32.655415,151.853134
56896,526430,2016,-34.011719,151.126007
15334003,83094,2016,-33.916008,151.014008
55441,632456,2016,-28.193743,153.527389
57518,368914,2016,-33.769199,150.761856
15286014,109484,2016,-33.798195,150.897125
