,station_key,traffic_count,year,wgs84_latitude,wgs84_longitude
0,58280,8816,2006,-35.970558,146.009125
1,58533,11328,2006,-35.421974,144.887726
2,56730,263246,2006,-33.817001,151.212357
3,58300,5160,2006,-35.462181,147.622376
4,57178,433146,2006,-33.914284,150.907883
5,57097,666980,2006,-33.775299,151.135406
6,58353,8152,2006,-35.724926,147.312561
7,56317,86100,2006,-34.117558,150.739578
8,57073,608824,2006,-33.809544,151.106827
9,58383,232598,2006,-36.05291,146.933502
10,58556,7392,2006,-33.988861,145.697174
11,58006,3769,2006,-32.406441,148.400147
12,58305,1083,2006,-35.691383,146.874603
13,58523,36400,2006,-35.789063,145.561722
14,58347,26422,2006,-35.775764,148.010117
15,58521,20780,2006,-35.631554,145.570297
16,328016,10228,2006,-30.994934,148.379807
17,56856,364406,2006,-33.829678,151.146133
18,58635,1900,2006,-34.597153,143.569946
19,58294,13376,2006,-34.476021,147.779144
20,58077,21428,2006,-34.26141,148.267013
21,58342,42274,2006,-34.740437,146.559631
22,56008,19816,2006,-32.453426,150.849686
23,56959,307982,2006,-33.963131,151.04187
24,58114,9528,2006,-34.054626,148.236755
25,56844,742448,2006,-33.842159,151.147903
26,58245,11636,2006,-35.116753,147.053848
27,57314,73119,2006,-33.791531,150.919113
28,58204,25344,2006,-34.738258,146.578354
29,56827,546254,2006,-33.889046,151.060608
30,58519,3592,2006,-34.519596,144.859116
31,58663,5720,2006,-34.137169,142.187866
32,57537,534986,2006,-33.770508,150.667374
33,58276,5584,2006,-35.561646,146.703033
34,58254,42148,2006,-34.540688,146.369308
35,58241,11640,2006,-35.768288,147.963791
36,56474,2930,2006,-36.402557,148.417343
37,58608,32474,2006,-34.516502,144.8423
38,58370,27518,2006,-35.668449,147.037018
39,55494,31040,2006,-30.448483,153.005157
40,58247,5074,2006,-35.3344,146.271027
41,58295,6306,2006,-34.828533,147.538269
42,58061,126560,2006,-34.912739,148.168076
43,55385,230629,2006,-33.8741,151.19487
44,58301,3564,2006,-35.588886,147.539398
45,56454,19268,2006,-36.619923,149.401627
46,58517,19328,2006,-35.537163,144.995316
47,58246,8472,2006,-35.224461,146.711258
48,56694,452090,2006,-33.887417,151.173325
49,58088,76996,2006,-35.339401,149.311569
50,58345,41308,2006,-34.762287,146.542007
51,58283,11436,2006,-35.995384,146.101807
52,58200,36088,2006,-34.763397,146.54335
53,55306,706376,2006,-33.86618,151.203201
54,58349,69778,2006,-34.447533,147.534027
55,58133,84448,2006,-34.313137,148.29657
56,58605,21170,2006,-35.523926,144.983246
57,58128,30986,2006,-34.551708,148.358292
58,58147,32000,2006,-34.561783,148.128342
59,58357,48140,2006,-35.994083,146.391357
60,56306,109984,2006,-34.223099,150.593338
61,58351,30004,2006,-34.449036,147.533874
62,58275,8712,2006,-35.242031,146.668549
63,55318,370030,2006,-33.888699,151.191421
64,56951,822950,2006,-33.940006,151.012375
65,328020,5880,2006,-34.095482,142.062927
66,55729,310350,2006,-32.822712,151.63385
67,56416,37614,2006,-36.105434,150.056808
68,56243,180772,2006,-34.425777,150.888489
69,58386,46664,2006,-36.082058,146.909347
70,58306,11852,2006,-35.656525,147.107559
71,58069,25360,2006,-34.300888,148.303223
72,58270,41228,2006,-34.691673,146.489822
73,56613,629988,2006,-33.890221,151.239777
74,58171,10512,2006,-34.50581,148.052261
75,58304,6172,2006,-35.676247,147.327881
76,58176,11444,2006,-34.606853,149.801086
77,57719,6508,2006,-31.58238,149.22644
78,58590,2232,2006,-35.592781,145.953781
79,58155,10136,2006,-34.444576,149.481934
80,58659,5548,2006,-32.409927,142.402802
81,58534,6296,2006,-35.407127,144.877975
82,58530,302332,2006,-36.12035,144.754028
83,58638,103422,2006,-36.109779,144.753525
84,58081,3786,2006,-34.51049,147.898285
85,57713,6258,2006,-30.125902,149.801788
86,58680,49278,2006,-34.164234,142.178711
87,58134,16518,2006,-34.6805038452148,149.690475463867
88,58535,3158,2006,-34.523533,144.83876
89,56487,340,2006,-36.524296,148.259415
90,57643,10576,2006,-28.617474,150.365082
91,56980,328608,2006,-33.961929,151.037201
92,58558,9016,2006,-33.492786,145.533081
93,58348,15204,2006,-34.446671,147.534393
94,58003,9188,2006,-33.223145,149.043945
95,58612,6124,2006,-33.480766,145.534805
96,55423,37502,2006,-33.873695,151.195328
97,58228,15320,2006,-34.154148,147.388718
98,58848,99120,2006,-33.425926,149.691452
99,58623,4228,2006,-35.47966,144.311966
100,58551,9276,2006,-35.355621,145.720841
101,58537,7500,2006,-34.631035,144.298248
102,58617,32840,2006,-35.812176,145.566589
103,58698,39816,2006,-33.509514,150.27977
104,57176,626544,2006,-33.937553,150.913849
105,58108,37452,2006,-35.167866,149.253357
106,56153,239292,2006,-33.39595,151.345932
107,58325,160360,2006,-35.120396,147.379486
108,58344,48364,2006,-34.743385,146.537491
109,58115,8524,2006,-34.721787,148.046356
110,58569,2694,2006,-35.264847,143.629303
111,58289,5012,2006,-34.335247,146.218277
112,58211,8536,2006,-33.913654,147.170181
113,55760,479564,2006,-32.81049,151.673676
114,56705,1235744,2006,-33.869068,151.185349
115,58335,42172,2006,-35.296211,148.22197
116,58320,7096,2006,-35.430229,147.609772
117,58567,5396,2006,-33.884274,146.129074
118,57419,366888,2006,-33.770763,151.094559
119,328017,4424,2006,-30.096804,145.991592
120,58227,16024,2006,-34.030842,147.31752
121,58572,3944,2006,-34.979599,143.453094
122,56418,6194,2006,-36.764797,149.260757
123,58145,9456,2006,-35.188198,149.540726
124,58329,9044,2006,-35.714962,148.04779
125,58355,81098,2006,-35.725365,147.312729
126,58179,3700,2006,-35.550861,149.649353
127,55712,36599,2006,-33.100418,151.629105
128,56223,152492,2006,-34.117878,150.698563
129,58509,2774,2006,-29.54801,148.673126
